순번,주소,상세위치,거치대 유무,location,lat,lng
185,서울특별시 서초구 서초동 1673-11,교대역 1번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
186,서울특별시 서초구 서초동 1748-17,서초역 1번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
187,서울특별시 서초구 서초동 1715-15,교대역 10번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
188,서울특별시 서초구 서초동 1541-43,서초역 4번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
189,서울특별시 서초구 서초동 1732-11,서초역 5번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
190,서울특별시 서초구 서초동 1542-1,서초역 2번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
191,서울특별시 서초구 서초동 1374,삼성화재 서초사옥 앞,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
192,서울특별시 서초구 반포동 749-18,신논현역 2번출구,N,"반포동, 반포2동, 서초구, 서울특별시, 06546, 대한민국",37.50312,127.0014
193,서울특별시 서초구 서초동 1321-40,강남빌딩 앞,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
194,서울특별시 서초구 서초동 711-4,예술의 전당 앞,N,,37.480786,127.014524
195,서울특별시 서초구 서초동 산 150-124,국립국악원 앞,N,,37.4776788,127.0085486
196,서울특별시 서초구 서초동 산 150-124,국립국악원 앞,N,,37.4776788,127.0085486
197,서울특별시 서초구 서초동 산 150-124,국립국악원 앞,N,,37.4776788,127.0085486
198,서울특별시 서초구 서초동 1445-17,남부터미널역 4-1번 출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
199,서울특별시 서초구 서초동 1445-17,남부터미널역 4번출구,N,,37.48818,127.01751
200,서울특별시 서초구 서초동 1655-6,서울교대 앞,N,,37.4909438,127.0143352
201,서울특별시 서초구 서초동 1598-4,교대사거리,N,,37.4879409,127.0144323
202,서울특별시 서초구 서초동 1748-38,서초3동 사거리,N,,37.4844812,127.013848
203,서울특별시 서초구 반포동 117-3,고속터미널 5번출구,N,,37.5015473,127.0003741
204,서울특별시 서초구 반포동 128-6,반포역 2번출구,N,"반포동, 반포2동, 서초구, 서울특별시, 06546, 대한민국",37.50312,127.0014
205,서울특별시 서초구 반포동 19-3,고속터미널역 8번출구,N,"반포동, 반포2동, 서초구, 서울특별시, 06546, 대한민국",37.50312,127.0014
206,서울특별시 서초구 방배동 1823,이수역 1번출구,N,,37.4886588,126.9828862
207,서울특별시 서초구 방배동 438-34,이수역 6번출구,N,"방배동, 방배3동, 서초구, 서울특별시, 06696, 대한민국",37.4798789,126.9939103
208,서울특별시 서초구 방배동 874-16,내방역 6번출구,N,,37.4881339,126.9932287
209,서울특별시 서초구 방배동 149,내방역 3번출구,N,,37.4874889,126.9948648
210,서울특별시 서초구 방배동 444-9,사당역 13번출구,N,,37.4774157,126.9820385
211,서울특별시 서초구 서초동 1375,양재역 2번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
212,서울특별시 서초구 양재동 13-4,양재역 7번출구,N,"양재동, 양재2동, 서초구, 서울특별시, 06769, 대한민국",37.46838,127.0361
213,서울특별시 서초구 양재동 24,양재역 9번출구,N,"진대감, 24, 강남대로6길, 양재동, 양재2동, 서초구, 서울특별시, 06779, 대한민국",37.4672523,127.0426457
214,서울특별시 서초구 서초동 1376-8,양재역 10번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
215,서울특별시 서초구 서초동 1366-12,양재역 1번출구,N,"서초동, 서초1동, 서초구, 서울특별시, 06720, 대한민국",37.48818,127.01751
216,서울특별시 서초구 양재동 67-10,교육개발원 입구 사거리,N,,37.4786106,127.0382401
217,서울특별시 서초구 양재동 20-41,교육개발원 입구 사거리,N,,37.4783284,127.0393676
218,서울특별시 서초구 양재동 237-2,양재시민의숲역 1번출구,N,"양재동, 양재2동, 서초구, 서울특별시, 06769, 대한민국",37.46838,127.0361
219,서울특별시 서초구 서초동 1377-1,서초1교,N,,37.4960927,127.0215327
220,서울특별시 서초구 서초동 1418,서초3교,N,,37.4915001,127.0249137
221,서울특별시 서초구 양재동 232,AT센터 앞,N,,37.4682617,127.0391433
222,서울특별시 서초구 서초동 1319-1,강남역 7번출구,N,,37.4975483,127.0273164
223,서울특별시 서초구 서초동 1319-1,강남역 8번출구,N,,37.4975483,127.0273164
224,서울특별시 서초구 반포동 30-5,사평역2번 출구,N,"반포동, 반포2동, 서초구, 서울특별시, 06546, 대한민국",37.50312,127.0014
225,서울특별시 강남구 논현동 119,강남구청역 3번 출구,N,"논현동, 논현1동, 강남구, 서울특별시, 06046, 대한민국",37.5123018,127.0294935
226,서울특별시 강남구 논현동 88-1,학동역 9번 출구,N,"논현동, 논현1동, 강남구, 서울특별시, 06046, 대한민국",37.5123018,127.0294935
227,서울특별시 강남구 삼성동 1,강남구청역 1번 출구,N,"삼릉공원 관리사무소, 1, 선릉로100길, 삼성2동, 강남구, 서울특별시, 06161, 대한민국",37.5071958,127.0483701
228,서울특별시 강남구 삼성동 145,삼성중앙역 5번 출구,N,"삼성동, 관악구, 서울특별시, 대한민국",37.5147838,127.0543618
229,서울특별시 강남구 삼성동 52,청담역 6번 출구,N,"삼성동, 관악구, 서울특별시, 대한민국",37.5100873,127.056216
230,서울특별시 강남구 신사동 501-2,신사역 7번 출구,N,"신사동, 강남구, 서울특별시, 대한민국",37.5223206,127.0277019
231,서울특별시 강남구 역삼동 679-5,역삼역 8번 출구,N,"역삼동, 역삼2동, 강남구, 서울특별시, 06220, 대한민국",37.49988,127.03856
232,서울특별시 강남구 청담동 41-2,강남구청역 4번 출구,N,"청담동, 강남구, 서울특별시, 대한민국",37.5257535,127.0523217
233,서울특별시 강남구 청담동 76-4,청담역 9번 출구,N,"청담동, 강남구, 서울특별시, 대한민국",37.5257535,127.0523217
234,서울특별시 강남구 압구정로 161,강남관광정보센터 앞,N,"강남관광정보센터, 161, 압구정로, 신사동, 압구정동, 강남구, 서울특별시, 06022, 대한민국",37.5268064,127.0270828
235,서울특별시 강남구 압구정로 206,와이비엠에듀 지사 앞,N,"압구정로, 신사동, 압구정동, 강남구, 서울특별시, 06022, 대한민국",37.5281029,127.0301358
236,서울특별시 강남구 압구정로 342,언더아머 압구정점 앞,N,"압구정로, 신사동, 압구정동, 강남구, 서울특별시, 06022, 대한민국",37.5281029,127.0301358
237,서울특별시 강남구 도산대로 138,우리은행 신사동프리미엄금융센터 앞,N,"글램성형외과, 138, 도산대로, 논현동, 논현1동, 강남구, 서울특별시, 06039, 대한민국",37.5175083,127.0237433
238,서울특별시 강남구 도산대로 318,SBS타워 앞,N,"도산대로, 청담동, 강남구, 서울특별시, 06016, 대한민국",37.5237609,127.0432859
239,서울특별시 강남구 학동로 165,마일스디오빌 본죽 비빔밥 앞,N,"달래해장 학동역점, 165, 학동로, 논현동, 논현1동, 강남구, 서울특별시, 06046, 대한민국",37.5137213,127.0288307
240,서울특별시 강남구 학동로 170,KT매장 앞,N,"학동로, 청담동, 강남구, 서울특별시, 06078, 대한민국",37.5156831,127.0359927
241,서울특별시 강남구 논현로 704,학동역 8번 출구,N,"논현로, 논현동, 논현1동, 강남구, 서울특별시, 06046, 대한민국",37.5167295,127.0294637
242,서울특별시 강남구 논현로 665,학동역 4번 출구,N,"논현로, 논현동, 논현1동, 강남구, 서울특별시, 06046, 대한민국",37.478697,127.0444277
243,서울특별시 강남구 학동로 171,학동역 6번 출구,N,"171, 학동로, 논현1동, 강남구, 서울특별시, 06046, 대한민국",37.5124711,127.0313936
244,서울특별시 강남구 강남대로 566,신영와코루빌딩 앞,N,"566, 강남대로, 논현1동, 강남구, 서울특별시, 06531, 대한민국",37.5125024,127.0211574
245,서울특별시 강남구 강남대로 536,"논현역 3번 출구, 자생한방병원 앞",N,"강남대로, 반포1동, 서초구, 서울특별시, 06535, 대한민국",37.4991884,127.0271674
246,서울특별시 강남구 강남대로 530,미사랑빌딩 앞,N,"강남대로, 반포1동, 서초구, 서울특별시, 06535, 대한민국",37.4991884,127.0271674
247,서울특별시 강남구 봉은사로 116,닥터포헤어와 반디빌딩 사이,N,"봉은사로, 삼성동, 삼성1동, 강남구, 서울특별시, 06163, 대한민국",37.5136217,127.056755
248,서울특별시 강남구 봉은사로 446,스타벅스 봉은사로선정릉점 앞,N,"봉은사로, 삼성동, 삼성1동, 강남구, 서울특별시, 06163, 대한민국",37.5136217,127.056755
249,서울특별시 강남구 봉은사로 607,리드빌딩 앞,N,"봉은사로, 삼성동, 삼성1동, 강남구, 서울특별시, 06163, 대한민국",37.5136217,127.056755
250,서울특별시 강남구 봉은사로 606,봉은사역 5번 출구,N,"봉은사로, 삼성동, 삼성1동, 강남구, 서울특별시, 06163, 대한민국",37.5136217,127.056755
251,서울특별시 강남구 테헤란로 101,강남역 강남스퀘어 광장,N,"살랑별빛 강남마사지 (Salrang Byeolbit Gangnam Massage), 101, 테헤란로, 역삼1동, 강남구, 서울특별시, 06134, 대한민국",37.4986161,127.0279548
252,서울특별시 강남구 테헤란로 152,역삼역 2번 출구,N,"강남파이낸스센터, 152, 테헤란로, 역삼1동, 강남구, 서울특별시, 06236, 대한민국",37.5000191,127.0365483
253,서울특별시 강남구 테헤란로 240,역삼 지하보도 4번 출구,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
254,서울특별시 강남구 테헤란로 242,역삼 지하보도 3번 출구 측면,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
255,서울특별시 강남구 테헤란로 302,역삼 지하보도 2번 출구 측면,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
256,서울특별시 강남구 테헤란로 305,한국산업기술진흥원 앞,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
257,서울특별시 강남구 테헤란로 443,스타벅스 삼성점 앞,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
258,서울특별시 강남구 테헤란로 103,강남역 12번 출구 뒤편,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
259,서울특별시 강남구 테헤란로 447,범무법인 안팍 서울 주사무소 앞,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
260,서울특별시 강남구 테헤란로 501,IBK 기업은행 앞,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
261,서울특별시 강남구 테헤란로 503,송영욱 내과의원 앞,N,"테헤란로, 대치4동, 강남구, 서울특별시, 06193, 대한민국",37.5086427,127.062784
262,서울특별시 강남구 테헤란로 440,포스코 사거리 포스코센터 앞,N,"스시마이우키친 포스코점, 440, 테헤란로, 대치4동, 강남구, 서울특별시, 06194, 대한민국",37.5056932,127.0558968
263,서울특별시 강남구 테헤란로 504,포스코 사거리 유진저축은행 앞,N,"테헤란로, 대치2동, 강남구, 서울특별시, 06175, 대한민국",37.5067467,127.0567292
264,서울특별시 강남구 테헤란로 505,스타벅스 포스코사거리점 앞,N,"온사이트 클라이밍 onsight climbing, 505, 테헤란로, 삼성1동, 강남구, 서울특별시, 06168, 대한민국",37.5075887,127.0574294
265,서울특별시 강남구 테헤란로 606,봉은사역 5번출구 우측,N,"파크 하얏트, 606, 테헤란로, 대치2동, 강남구, 서울특별시, 06173, 대한민국",37.5086027,127.0641785
266,서울특별시 강남구 영동대로 316,새마을운동중앙회 앞,N,"영동대로, 개포2동, 강남구, 서울특별시, 06328, 대한민국",37.511866,127.0616965
267,서울특별시 강남구 영동대로 302,국민제1빌딩 현대자동차 앞,N,"영동대로, 개포2동, 강남구, 서울특별시, 06328, 대한민국",37.4921947,127.0724516
268,서울특별시 강남구 영동대로 237,삼성디지털프라자 앞,N,"Samsung, 237, 영동대로, 대치동, 대치2동, 강남구, 서울특별시, 06283, 대한민국",37.5006039,127.0670254
269,서울특별시 강남구 영동대로 301,BMW 삼성전시장 앞,N,"영동대로, 개포2동, 강남구, 서울특별시, 06328, 대한민국",37.511866,127.0616965
270,서울특별시 강남구 도곡로 331,한티역 8번 출구 뒤,N,"도곡로, 잠실7동, 송파구, 서울특별시, 05571, 대한민국",37.5001811,127.0648705
271,서울특별시 강남구 도곡로 404,한티역 4번 출구,N,"도곡로, 잠실7동, 송파구, 서울특별시, 05571, 대한민국",37.5001811,127.0648705
272,서울특별시 강남구 선릉로 206,도곡역 2번 출구 측면,N,"인산가, 206, 선릉로, 대치1동, 강남구, 서울특별시, 06281, 대한민국",37.4930983,127.0555038
273,서울특별시 강남구 삼성로 155,대치역 7번 출구,N,"대치퍼스트빌딩, 155, 삼성로, 대치1동, 강남구, 서울특별시, 06291, 대한민국",37.4937812,127.0629254
274,서울특별시 강남구 일원동 128-10,삼성서울병원 정문 주변,N,"일원동, 일원본동, 강남구, 서울특별시, 06351, 대한민국",37.48754,127.08705
275,서울특별시 강남구 일원로 115,일원역 3번 출구,N,"삼성생명 일원역 빌딩, 115, 일원로, 일원동, 일원본동, 강남구, 서울특별시, 06355, 대한민국",37.4840524,127.0846214
276,서울특별시 강남구 일원로 127,"일원역 4, 5번 출구 사이",N,"다올축산, 127, 일원로, 일원동, 일원본동, 강남구, 서울특별시, 06361, 대한민국",37.4831021,127.085403
277,서울특별시 강남구 수서동 724-4,수서역 5번 출구 측면,N,"수서동, 강남구, 서울특별시, 대한민국",37.48445,127.09838
278,서울특별시 강남구 수서동 727,수서역 6번 출구,N,"수서동, 강남구, 서울특별시, 대한민국",37.48445,127.09838
279,서울특별시 강남구 자곡로 218,자곡동사거리 남동측,N,"자곡로, 방죽마을, 세곡동, 강남구, 서울특별시, 06373, 대한민국",37.4731277,127.1032212
280,서울특별시 강남구 자곡로 210,더샵갤러리 앞,N,"자곡로, 방죽마을, 세곡동, 강남구, 서울특별시, 06373, 대한민국",37.4731277,127.1032212
281,서울특별시 강남구 자곡로3길 22,세곡중학교 앞 삼거리,N,"자곡로3길, 자곡동, 세곡동, 강남구, 서울특별시, 06375, 대한민국",37.4712049,127.0898208
282,서울특별시 강남구 헌릉로590길 100,강남신동아파밀리에2단지 정류장,N,"헌릉로590길, 은곡마을, 세곡동, 강남구, 서울특별시, 06366, 대한민국",37.4622531,127.1012819
283,서울특별시 강남구 테헤란로 508,해성2빌딩 앞,N,"해성2빌딩, 508, 테헤란로, 대치2동, 강남구, 서울특별시, 06169, 대한민국",37.5068067,127.0579751
284,서울특별시 송파구 가락동 10-15,오금역 4번 출구,N,"가락동, 강서구, 부산광역시, 46707, 대한민국",37.49672,127.11744
285,서울특별시 송파구 가락동 10-15,경찰병원역 1번 출구 뒤,N,"가락동, 강서구, 부산광역시, 46707, 대한민국",37.49672,127.11744
286,서울특별시 송파구 신천동 19,몽촌토성역 4번 출구 앞,N,"19, 문화마을로16번길, 신천동, 시흥시, 14904, 대한민국",37.5184928,127.1030779
287,서울특별시 송파구 송파동 1-1,석촌역 4번 출구 뒤,N,"송파동, 송파1동, 송파구, 서울특별시, 05675, 대한민국",37.50479,127.11369
288,서울특별시 송파구 잠실동 270,"잠실새내역 3, 4번 출구 사이",N,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
289,서울특별시 송파구 방이동 89-28,올림픽공원역 4번 출구 측면,Y,"방이동, 방이2동, 송파구, 서울특별시, 05628, 대한민국",37.5141564,127.1195472
290,서울특별시 송파구 잠실동 50,종합운동장역 4번 출구 앞,Y,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
291,서울특별시 송파구 신천동 29-5,송파구청 앞,Y,"신천동, 시흥시, 대한민국",37.5184928,127.1030779
292,서울특별시 송파구 신청동 28,잠실역 2번출구 앞,Y,,,
293,서울특별시 송파구 잠실동 39,잠실역 3번출구 앞,Y,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
294,서울특별시 송파구 잠실동 39,잠실역 4번 출구,Y,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
295,서울특별시 송파구 잠실동 35-8,잠실새내역 1번출구 앞,Y,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
296,서울특별시 송파구 잠실동 84,종합운동장역 9번 출구 앞,Y,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
297,서울특별시 송파구 신천동 15,잠실나루역 1번 출구 앞,Y,"시흥푸르지오5차아파트, 15, 신천동, 시흥시, 14910, 대한민국",37.5184928,127.1030779
298,서울특별시 송파구 방이동 44-12,몽촌토성역 3번 출구 앞,Y,"방이동, 방이2동, 송파구, 서울특별시, 05628, 대한민국",37.5141564,127.1195472
299,서울특별시 송파구 방이동 89-27,올림픽공원역 3번 출구 앞,Y,"방이동, 방이2동, 송파구, 서울특별시, 05628, 대한민국",37.5141564,127.1195472
300,서울특별시 송파구 잠실역 46,석촌호수 서호 입구,Y,,,
301,서울특별시 송파구 오금동 165-1,개롱역 2번출구 앞,Y,"오금동, 금정동, 15863, 대한민국",37.50355,127.13379
302,서울특별시 송파구 오금동 165-1,개롱역 2번출구 앞,Y,"오금동, 금정동, 15863, 대한민국",37.50355,127.13379
303,서울특별시 송파구 가락동 165-2,개롱역 3번출구 앞,Y,"가락동, 강서구, 부산광역시, 46707, 대한민국",37.49672,127.11744
304,서울특별시 송파구 가락동 165-3,개롱역 4번출구,Y,"가락동, 강서구, 부산광역시, 46707, 대한민국",37.49672,127.11744
305,서울특별시 송파구 방이동 88-17,몽촌토성역 1번 출구 근처,N,"방이동, 방이2동, 송파구, 서울특별시, 05628, 대한민국",37.5141564,127.1195472
306,서울특별시 송파구 방이동 88-17,한성백제역 2번 출구 근처,Y,"방이동, 방이2동, 송파구, 서울특별시, 05628, 대한민국",37.5141564,127.1195472
307,서울특별시 송파구 송파동 68,석촌역 2번 출구 뒤쪽,Y,"송파동, 송파1동, 송파구, 서울특별시, 05675, 대한민국",37.50479,127.11369
308,서울특별시 송파구 석촌동 318,석촌역 6번 출구 인근,Y,"석촌동, 송파구, 서울특별시, 대한민국",37.5024827,127.103495
309,서울특별시 송파구 잠실동 21,잠실새내역 7번 출구 뒤쪽,Y,"잠실동, 잠실2동, 송파구, 서울특별시, 05501, 대한민국",37.5122807,127.0855986
310,서울특별시 송파구 문정동 634,장지역 3번 출구 따릉이 옆,Y,"문정동, 영주시, 36133, 대한민국",37.48434,127.12246
311,서울특별시 송파구 법원로 128,문정역 4번 출구 앞,N,"문정 SK V1 GL 메트로시티 B동, 128, 법원로, 문정동, 문정2동, 송파구, 서울특별시, 05854, 대한민국",37.4870119,127.1204723
312,서울특별시 송파구 올림픽로 336,잠실 대우 유토피아건물 앞,N,"올림픽로, 신천동, 잠실6동, 송파구, 서울특별시, 05510, 대한민국",37.5253547,127.117511
313,서울특별시 강동구 명일동 46-5,고덕역 4번출구 인근 ,N,"명일동, 명일2동, 강동구, 서울특별시, 05268, 대한민국",37.54841,127.15158
314,서울특별시 강동구 명일동 303-1,명일역 2번출구 인근 ,N,"명일동, 명일2동, 강동구, 서울특별시, 05268, 대한민국",37.54841,127.15158
315,서울특별시 강동구 암사동 524,선사고등학교 앞 ,Y,"암사동, 암사3동, 강동구, 서울특별시, 05241, 대한민국",37.5582352,127.1308542
316,서울특별시 강동구 강일동 679-6,강동공영차고지 버스정류장 인근 ,Y,"강일동, 강동구, 서울특별시, 대한민국",37.56723,127.1713
317,서울특별시 강동구 강일동 681,육교 아래 ,Y,"강일동, 강동구, 서울특별시, 대한민국",37.56723,127.1713
318,서울특별시 마포구 마포구 월드컵로3길 1,마포한강2차푸르지오아파트 앞마포한강2차푸르지오아파트 앞,N,"월드컵로3길, 합정동, 마포구, 서울특별시, 04025, 대한민국",37.5503081,126.910581
319,서울특별시 마포구 마포구 양화로 29,아람광고앞,N,"29, 양화로, 합정동, 마포구, 서울특별시, 04071, 대한민국",37.5491416,126.912461
320,서울특별시 마포구 마포구 양화로 32,황실마사지앞,N,"CU, 32, 양화로, 합정동, 마포구, 서울특별시, 04071, 대한민국",37.5485532,126.9127684
321,서울특별시 마포구 마포구 양화로 44,모델하우스(견본주택)앞,N,"양화로, 서교동, 마포구, 서울특별시, 04031, 대한민국",37.5568547,126.9239146
322,서울특별시 마포구 마포구 백범로 192,에스오일본사 앞,N,"백범로, 대흥동, 22통, 대흥동, 마포구, 서울특별시, 04101, 대한민국",37.5520324,126.937395
323,서울특별시 마포구 마포구 월드컵로 196,올리브영 앞 ,N,"월드컵로, 서교동, 마포구, 서울특별시, 04023, 대한민국",37.552033,126.9124539
324,서울특별시 노원구 노원구 하계동 256-9,대진고교교차로,N,"하계동, 하계1동, 노원구, 서울특별시, 01806, 대한민국",37.63793,127.07251
325,서울특별시 노원구 노원구 상계동 694-1,임광아파트종합상가 옆,N,"상계동, 상계5동, 노원구, 서울특별시, 01657, 대한민국",37.66727,127.07242
326,서울특별시 강서구 마곡서1로 100,신방화역 5번 출구,N,"마곡서1로, 마곡동, 방화1동, 강서구, 서울특별시, 07598, 대한민국",37.5689937,126.8183971
327,서울특별시 강서구 강서로 40,까치산역 2번 출구,N,"강서로, 화곡1동, 강서구, 서울특별시, 07726, 대한민국",37.5382193,126.8427145
328,서울특별시 노원구 중계동 434-1,상계동 뚜레주르 앞,N,"중계동, 중계본동, 노원구, 서울특별시, 01743, 대한민국",37.64802,127.07678
329,서울특별시 노원구 한글비석로 389-2,상계중앙시장 앞 따릉이 옆,N,"한글비석로, 상계5동, 노원구, 서울특별시, 대한민국",37.6661065,127.0694863
